一	二三左旦丁刁下上于士干不天王且丘本甘石百
备	佣仅供并首道仆件借仪用傀俏俄伴位伯作任化奥向
杰	侈怜保伶磷麦舞鳞麸仔令侯蹂你健夕乞
傀	块愧槐鬼瑰魄魂俄作伯件任魏几丑入么
伞	悴碎粹卒什午从醉聚翠侠俭估仗众耸偷伤伦侮
最	撮娶取耳支丛趣闻茸昌耻耿昭枝肢吱妓技
凯	岂肌凳咒饥飒冗壳殿设跺躲逗殷般殴段股吭投枫
割	豁刮剖创副判刑刊害剩划剑削克刹到制刺剂别删刨利列划
创	剖刮割划仓副刹削剑刽剂刺到制判利删刨别刑列刊
剩	制利划剔刹剃削克剂刻刺刮删刨判刑刊印
劳	荣荧莹萤营筋唠捞莺肋胁勇胜锄踊
胜	胖腾誊倦肋劳筋胁畔拌伴锄抛拗圈
勋	偿助肋员胁劫幼咖贺勇另勒勘动勤贿勉勃励功劝损陨
博	傅搏膊缚辅脯补哺捕浦铺圃甫传将肘薄簿
喧	宣喳喷棕嗜家嫁院锭滨
啼	缔蹄蒂帝咙磅瞒常吊棉满滞怖锦布谤砸
喊	减咸灭哈吮威桐铜洞筒后答茂
喝	揭渴遏褐谒竭葛唱歇蔼惕锡吧邑
喘	揣瑞端而耐耍碳嗤需啼喻啃儒懦哑吨
喂	偎畏衰嘿哩咽呀辱聘当褥谓表长画当
喜	嘉嬉吉台袁膳豆培壹售告周敬鼓
丧	壤噩嚷攘囊镶吉民单喜周售区哭袁品器咒周
喇	嗽咧捌漱俐涮嫩速痢莉测侧倒例懒辣
喳	渣呆查杆宣喧杨噪秆保旦檀粮根棠架
单	弹阐蝉战器哭咒嚣实严惯区兽贯囊车
唾	捶锤睡垂邮啤听叭呜甜朱鸣咱呼哗甘千呈
哟	约丝絮累系紊素索辫纯嗦紫细灼吆绒结绢紧繁
唤	换涣焕痪踊勇哎琼懈唠嘴懊澳袄吹
喻	偷愉榆逾输愈哈伦吟吃
乔	高吞侨娇桥矫轿骄膏夭篙蒿癌笑搞稿妖沃向镐
喉	猴侯吃咐喻哈吟吼呛唯呐跪俭天夜
围	伟苇违纬韩拿韧笨本困晤梧悟捂卫讳
堪	甚勘斟垮农浓脓其辰
场	扬杨肠阳畅坦堤塌昼伤汤袒坛但逐
堤	提是坦锭场绽定昼塌匙袒坛但题
堰	腿褪根退银恨痕眼狠限跟很艰良
报	服幸择泽绎释译候肾坚捌紧竖贤
堡	褒保杜涂呆藻容谷裕桂浴俗噪澡燥吐台躁
壹	澄橙灯瞪礼体筒桐铜洞证蹬
壶	址壹萤志吉再虫止土工遣壮肛兆北
奠	犹共酗酒曾基异恭美艾医天斯酣酥烘配酌哄拱洪醋供
媚	楣眉帽算省自箱篡娩咱湘首目厢冒
婿	楚蛋旋础漩踩娱蹈好奴娩奶内
媒	煤谋某柑钳甘虚芋酣甜嵌于嫌
寒	塞寨赛暴异共烘哄拱洪供港基恭溢隘嘶撕
富	辐逼幅福蝠宣宗完丰害合卜副当挡档裆铛痘拿岂宾咸言宇同石士
寓	偶遇隅愚藕迈万厉甲巾蜀宵宙宜帘宏守吊布实钾帜
尊	遵蹲曲曹寺守专辱寸对村肘付农导尉射封
寻	讨等刁诗砖褥夺帚符厨冠蔚府将时待恃持咐侍树附谢
就	尤稽晾掠凉景京默吠献鲸占犬哭
嵌	次钳柑虚甘久媒欺掀煤甜嗽漱
幅	逼福蝠辐富裆挡当档铛巾同帽幌幔幢帜帐帖
帽	幌幔冒帜媚楣巾幅瞒帕霜幢帐帖帆湘目厢箱
几	叽机讥饥魂乐魔鬼傀愧块槐以幻瑰魄魏幼
廊	榔郎参廓乡爷晋残梆椰惨挪掺娜哪渗掷
厕	测侧则员费贵贷贯货责赞狈贺买资赁贡贤贝贱溅
厢	箱湘霜相床目楣想厕冒帽媚困睬亲梁眷栽乐省眉看盲算
彭	形衫杉澎膨彩彤彰影彪鼓树厨珍射彬喜疹薇
复	复腹徐役从后行彼御得待徒很微征履
循	很徊律往彼役冲盾徙徒征微征
惑	感国或域怠憾台撼恶惠恕思忠芯忍志应名苔胎抬
恶	亚哑患恐背片惑悲栗要串栗粟忠介冀工腰迁怔融隐
悲	辈靠非菲排啡匪罪靡徘诽
闷	门闲间问闪闰开闸闭闻闺闽板阀们
惠	栽穗专截裁载忍戴铁愚慰式团传代
愕	胯垮夸跨严嚣弹污夸
惰	怖恢工贡情懦肛扛江汞愉捺恒怔攻功贵肯
慨	溉概既潜唧卿鲫节恨即悍旬匀蚕
恼	脑腊巡猎蜡巢灾囱奸
惶	煌蝗凰皇怕旺润斑班棉腺栓拴锦柏迫拍泊
愉	偷喻榆逾输愈恰伦抡沦悔
掌	棠当常党尚尝裳赏堂肖挡当膛档裆铛敞淌捎哨倘削
描	措锚摸瞄苗搭猫拼拱曲搓撞播擂茵茴扑菌曹
拣	炼练拦柬澜栏烂兰抹东播栋披
揩	阶楷谐皆批棍混折指鹿罢
揉	蹂柔扔采播换拯操扭揪禾拨担搁挽挺捆乃
揍	凑捧奏榛桩棒秦夭奉矫沃妖泰笑春吞
插	括捶拍托扒写捣拆扳折抓搜段泻臼千抹挤抖技抄播撬桩稻抵投揪
揣	喘瑞端而耐耍摧携扫擂扎需抡撬指儒懦扰拂
提	堤是锭捍扬绽定揭捏撮匙掖袒擅坦但题
握	屋至室致到窒掘倒扫致套
揖	辑拐捐摄扣耳损捌聂撮耻耿取茸
揭	渴喝遏褐竭葛谒提捏扬捍撮歇措惕锡把蔼
挥	浑运辉晕荤轰撵军裤链莲车连轧库
捶	唾锤睡垂邮括插拍拆折托扒捣甜扳抓抵扩甘千
援	暖缓授采挥挣探摇助捐锄天
揪	锹秋播秋秒稍禾秦俐潘萎愁审
换	涣唤焕痪踊勇琼懈揉解拯捞懊澳袄扭
扬	场杨肠阳畅捍提捏撮揭据伤招拐扮
敞	撇厂蔽散敌肖别弊枚币敢败启敬故数牧玫改收撒矢疾尚
敦	墩郭教枚叙廓敬启敌故享敞散敢效数放牧玫改
敢	橄干故枚玫敞散救教启叙敬敌数政致牧改攻敛收矢
散	撒敞敌敬枚蔽敢败启故数牧玫改收撇矢疾厂矣
斑	班玷逛琉璃琳理玫王痊
斯	撕嘶析近折听芹新斩祈所斧匠掀斤
普	并碰并共井谱异基恭屏昌昔暴烘拼拱洪哄供并
晰	析逝浙薪惭渐撕嘶斤崭新近折听芹匠
晴	情清猜睛靖精蜻请青债积绩责
晶	昌唱倡猖暗日萌间昔旦明旬
景	晾掠凉鲸谅京影占就暗蒿篙烹豪高亭亮享哀
暑	着屠奢署堵睹诸者绪赌曙煮猪都
智	知佑矢右唱蜘疾若昌矣枚替春昔吞君吝邑晶匿惹散敞敢
晾	景掠凉鲸谅京暗影就占搞淳停哼稿壕嚎镐
曾	层僧憎增赠曹西昌钾晒昔晶鹿槽遭醋醒
替	夫芙倡扶但失规昌推们春昔晶承麸撵
期	其欺棋箕旗簸甚具堪俱甘脊
朝	潮嘲庙干斩干肺韩朋沛翰甫宜脯胡明渐惭崭
棺	管馆官榕枯棕柠栖枝杖糊刮
棕	综崇标蒜捺襟察漂膘赊际宗
棠	掌当常党尚尝裳赏堂肖当档膛挡裆铛呆敞梢淌哨倘削保
棘	枣策刺棚采想栅相肘采菜粗租睬称膝湘桐厢荣箱孟
枣	棘策刺采棚想菜采栅相肘孟厢箱荣湘睬粗桐称租膝
椅	畸崎倚寄骑奇荷啊可河坷呵何苛
栋	林东陈冻森棵材村淋柬栏琳彬焚番
棵	裸果栋裹困课林东巢捆柬森番
森	林淋琳彬栋材村木焚杰采李杏床宋呆棵杜沐困朴
棒	捧榛桩奉揍凑楔泰春秦奏降攀模挟林梆木森
栖	凄妻枯枝杖楼末植林棺根株柿数枕析沫
棋	箕其期簸欺柑旗横桦植朴甚具堪俱棕檬甘某
棍	混楷鹿罢昆皆揩比阶
植	矗值殖置直宜棋枯枝杖棕真具栖慎填俱镇檬柠桐且
椒	淑寂叔朴督柱校柿梳杭核迷林榜樟檀鸟乌木
椎	稚杂进淮推堆唯锥崔雄准离集
棉	锦绵帮柏帕穆惶啼煌腺滞满怖瞒布迫泊拍怕伯
棚	朋硼崩受桐爱骨鹏栅相滑授称棘乱猾稻稠枣策
款	炊歌砍玖坎次欺钦亩欣吹灯饮欲歇软歉欧欢疚示
欺	其期钦棋歉箕歌砍玖次旗簸款欲亩欣炊坎吹
钦	歉欺炊坎吹久疚欲歌亩砍玖次钮软欣灸
残	歹殉死列栈浅钱歼殊殃贱践殖渗掺惨
殖	矗植值置歹殊殉殃死直残列歼咧例尸宜
壳	毁殿殷般段谷股投役杀设毅殴疫没圾发泼拨及废击声
毯	毛淡尾撬谈耗痰炎氮毡
氮	气氨氛氧痰氢氯炎淡毯谈
氯	碌录绿氧气氨氮氢剥氛互汽
港	溢洪烘拱哄供共异暴隘寒塞寨赛流瀑谱撕嘶基恭巷
游	游漩淤肪妨坊仿房芳防旁纺浮方
渡	镀踱浅治度渗械戒遮泳洲减灭诫扩旷矿浦浪庶
凑	揍奏榛桩添沃秦棒捧夭泰矫妖漪笑春奉吞
渠	巨炬拒梁架柒染争采床宋呆森局凸凹淋净矩泥林沐
渣	喳沐漆淋查杆宣汤杨湘秆沫决旦
减	喊灭洽咸洞威给蛤拾恰哈后筒答茂
湘	厢箱相淋霜沐渺楣目想测溅亲沈渣帽媚睬漆困冒
渤	勃沛脖浮荸锄拗抛筋胁肋胜踊劳
湖	糊沽蝴葫胡潮胡枯姑咕估古苦居固做沛汁
涡	滑过锅祸蜗窝猾浩沿治沼乱骨滔淫深净浮洛沉淌沮朋洞
汤	荡烫混湿荡渴漫瀑渣袒涧坦滨但旦扬场阳焊杆杨肠
渴	揭喝遏褐竭葛谒湿汤漫瀑混歇
渺	督省湘沙测溅相冒惧目眷算眉看盲篡
测	侧厕溅则员涮狈费贵责贯货赞溃贝贺买贷赁贡贤
湃	牢件牛牡犁活牲拜泊牧沃丰看派物汁添浩
浑	挥运辉晕荤轰军裤撵链莲车连轧库轴软轩阵轨载
滋	磁慈漠满蒙灌药浅幽溪渗港溢沟漾浓卤洋洪溅
涣	换唤焕痪澳踊勇没琼懈渔懊袄汛弥
焙	培倍陪赔菩竞暗接粒泣拉垃位立
焚	杰楚禁矾秋林炎森栋淋梢秒材村襟
焦	集售蕉憔瞧礁只双黑崔羔椎进淮推堆唯锥
焰	陷馅阎滔臼桩稻蹈舀旧焕躬炊
无	芜抚舞庶炎借并供伙焦羔杰灸灰焚然黑煞鱼熬氮痰蔗火淡
然	燃灰痰煞央恢奥熬炎胰肋英杰尔焕映
煮	者都暑着屠奢堵署睹诸薯绪赌曙储
牌	版片牍脾碑啤卑衫
犀	属迟嘱匪尸排悲尿尾菲手啡逝适非匹
犹	奠狸狂狈狠狡狗犯狼狭狐猜猖获
猴	喉侯狂狮狱狭狸狠狡狗犯猜猖获
猩	腥猖醒星猜铲隆狠牲生笙性姓产狂
琳	淋森斑班林王玻枉弄彬理珠瑰珊玷玫玖
琢	啄玩玫玖斑班理瑰珊玷王
琴	瑟玲吟黔伶零今捻蛉铃冷
甥	生舅虏牲性姓笙星腥产猩铲男隆醒拜猜毒
画	昼书鼻三畏在喂偎奋埋疆票衰查卖或冀些苗二田一
番	禾香委审潘播秋和私季秃秀黍菌稍稚租秘科秒利
痢	莉俐利秦梨矮秃荆前犁秉喇秧榛厕萎审斗乘禾揪
痛	桶通蛹诵丸疚痪爹挚癣用夕执
痘	岂短登丰竖逗左奈豆凳夸壹合矾
登	凳痘岂丰短逗澄灯橙竖瞪蹬合邓证盒拿久
发	废泼拨搬淀锻缎壳疫股投灸久殿殷般段没
盗	盅孟温盔盛盟益监盈杯扁荡瘟栅
困	睬目捆瞄眶眼相盹盯睁瞳困睹眠睡盼了睛睦
短	痘逗登岂丰竖知矢矮豆矫矩凳倚澄灯橙枚壹盒疾
硝	哨砂当石梢消捎悄峭销俏砚稍碘硕砰歌确码研砍
硬	梗埂便更研砰硕鞭硝歌砍砂石
砚	视现规觅观见觉硼硝砂搅碉窥
稍	梢秋秒档禾租消捎悄峭哨销俏和私揪锹
秆	杆焊捍悍香赶旱穗秽秤禾查程杨干称稼稻秒租秋科和私番委
程	逞和呈称稻秒秽禾秆淫稿穗税稚种秩秘秋私稠番圣香委秀告
税	脱悦锐蜕阅说兑秘和稍稚租秩秋科私程秒禾秃
稀	希幕怖布称稻秒稍秧租利禾秃布秆程移稿稼稽积穗
窘	裙窖窝窟君窑窄突空究伊窜窗窒帘洼
窗	囱总窄突究窖空帘穷窃窒穿窍窘窜
窖	造浩窘窝窄告酷窑窜窗呈穷窃窟窒圣空洼任
童	撞钟幢瞳立音章里里埋哩竟意理站狸嘿
竣	梭峻唆俊酸骏靖飒立菱音竭端凌锋贩站返反童意竟章
等	特时持恃侍待夺寺符诗对封筹寸厨府树咐
策	枣棘箱笨禾租稠称稻刺番柔香委秉稍棚秋相栅和私
笔	津笛箫律建肄肆爪篓健键么竹策笋笨第笙笆笑竿
筐	框眶斑班王痊凰惶煌逛栓拴
筒	桐铜洞答壹同石硼言喊减洽拾恰哈
答	签合洽拾恰哈给蛤筒俭八言合石捡脸检钥
笋	殉旬询昏宅筷恨托笆么竹策笔笨笛笑竿忽箫
筋	劳肋勇胁力胜踊奥筝锄男劣另筒渤澳拗抛懊励助袄
筏	符八阀伐答今么签伏代念含令袱践吟伶扒叭
筑	筑肛江扛恐工红缸虹汞鸿巩攻功贡巧
粟	栗要贾复腰栗迁价粱气屎糜粥袖迷咪米怜磷鳞
粥	气籽怜迷咪磷鳞米屎粱粟糜粗粒料灿
绞	丝纹纺绰统细校咬纤织绊组纱纯纽纳绪维
结	绕续绍络绢丝绒给缠细维纽绸
绒	缠丝缚结绢绽综缩织缤细约
绝	绍纷纫丝纪线缆结绒络绢终绵编缩绷织
紫	丝累紊素柴系絮索些紧繁系哟罗蕴细辫
絮	丝累系紊素索哟紫紧繁系细恕罗蕴绒结绊组绢
丝	纠细绊纱绿约组纹纯纽纳纸维练缘纪纫绣绒
络	终烙略胳格洛骆路结绍赂酪客
给	绘洽拾恰哈丝结蛤绢纳维绒绍纬缩细组答
善	膳羹羔美姜菩对义弄培喜窑苔焙塔漾倍样仪糕
翔	翅翎翩翘翻扇羽折塌习翁
肃	啸萧箫锈渊姊绣中斗齐束串臼甲由史巾忠冲仲引儿
腕	惋婉碗豌宛脖腔肺肢死夕脆胎侈外麦军尸字
腔	控空窒挖麻穿肢肺窄突帘究穴窃
腋	液掖夜股迄腹胳健腿悴肮服脐又舷碎逾逢膀航粹侵踊蹂
肾	贤坚紧竖服宦臣卧臀有藏报候临脏鉴前捌赃
胀	帐张账长涨刁争服朋叼胯脓畏脉胚肪肝肛肚肋喂净挣
脾	啤碑牌卑脉肌千肿貌舀冗
舒	抒野序予预豫舍舍侈墅多移爹
菩	焙培倍陪赔立泣拉垃位竞善粒暗接
萍	平坪蒲荡秤砰茫范藻菠落薄评
菠	波簸皮落疲被破玻披坡跛彼藻婆颇皱板
华	哗桦荆苦芋着苛葬甘芽葫薛黄蕾
菱	陵凌忧傻厦反贩锋各冬赂后返板扳
着	暑屠奢署堵睹诸薯者绪赌煮猪
莱	来荚茉叶菊苗芝芙芥芯昔芋艾苇卒巫夹坐椎枚
萌	昔莫明草音芭幕墓暮摹慕措惜借错葫冒葛募蔓
菌	苗苏番萎禾莉禀香委审榛秋潘播和私
菲	罪靡排啡匪徘诽非悲辈靠蔬遣
菊	鞠芯苟芍米苞叶燕怜葡卜屎蔚蕊迷咪莱粱茉苗昔荐芋
萎	莉矮委审菌禾秦苏揪潘播锹秋
萄	淘掏陶摇遥缺谣蕊芯缸坛遂罐
菜	蒙荣采采荤茶前睬叶药踩肘煎典膝
虚	虐虎甘钳柑虏肤虑卢媒煤某嵌疟酣甜谋
蛙	虫蛀虫蛔蛆蚯蚪蚌蚊蛛蛾虹蝇蚣蚓
蛔	虫虫蛙蛆蚯蛀蚊蚪蚌蝇螺蛛蛾蜕虹蛤蚣蝠蜗
蛛	虫蛾殊朱蚪蚌珠株蟋蝌虫蛙蛔蛀蛆蚯蚊蜂蝙蝗
蛤	虫蛉蚯洽拾恰哈给蝠蜘虫蜻蚣蜗蛔蛆答
街	衔衍冲术衡衙卫行征徒待微徘御征往徐
裁	袋依装裂制衣袭惠栽载专截裳
裂	烈制裁装依袋袭衣裳陷闹迎
袱	伏伪犬狱吠伐泪嗅复附爪跋状献筏莽臭哭突
视	砚规现觅观见觉祖祝祸搅窥
注	访诅诈诉许诀该详询记讨讯课谁计订谅识
咏	诚讨讯计订诫注诅诈详询诀许记课谁试讼
评	砰订诅讶许讯诬计注词诈诉详话询诀记
词	记诅诈计订注评诉访诀许详诚话询讨讯
诅	谊注评词诈诉详询许诀讨讯诬记计课
诈	诉诚话访注词诅询详诀许记讨讯计课谁订
诉	诈注诅话计订评词详诚询访诀许记
诊	谚诲论讹珍趁许谁试诗设讼志认诫诱谊
象	像橡豫色间旭免渴揭喝遂遏葛陶歇意竭褐涧恰憔亿
贮	贼赌贝贱则贬赂赊赔赋赠赡贴贿贩败财账
贴	赔贝贿败财贩账赌赚贼贱则贮赂赠赡贬赊赋赐购赎员
贰	腻吨岭苹吁倾濒式须页项颂顿顶烦硕颤
费	贵买员责贯货贾贡贤赞贺贸贷资赁质厕测侧狈
贺	员架贵责贯货赞狈费买贸贷赁贡赘资贾贤质驾厕圆赏贝测
贵	贡责溃遗员费买贯货赞贺贷贾赁资狈
买	费贵贸贯员责货贾贡质赞贺贷赁罩置众贤狈
贬	眨泛赂贩贼贱贝贮赊赐败财则乏赔赋购赠赡赃赎贴贿
贸	留买质瘤溜榴费贺贵赁贾贡员贤赞贷资货贯责赘狈馏
贷	货员贵赁责贯赞费贺买资袋贡赘厕侧狈
越	赴走起赵趟超赶趣趁趋陡徒践跋伐踱进跟垃卦伏代堤琉壕壤
超	昭沼招趣走绍起赴趁赶越赵趟趋召
趁	珍诊疹走超赴赶谚穆趋越起赵彬澎膨趟趣陡
距	足跟趴跋跑跌趾践踏踩
跋	拔践踱足距跟趴跑跌跛趾踏踩
跑	咆袍胞炮泡抱足距跟趴苞
跌	趴跺足距跟秩跋跑跛趾践踏踩
跛	被破波披坡玻疲皱彼趴跺足距跋跌跟迹踩皮
轴	轰轧车软轩轨较辅辆辐宙挽辑
辜	宰辟锌辞辩辛辨办辫薛滓僻避瓣古辣
逮	隶康遣市止衷速慷艘逃卜进遇送迷退逆回迫柿近歧迂
周	稠碉绸调周雕肚造运过遥膨吉
逸	冤晚挽娩冕兔挽免勉竟臭嗅境镜搀
进	椎淮推堆唯锥离杂崔霍雄稚准
邮	垂捶唾睡锤郑邦邢都部郎郁那
乡	榔向响廊参晋朗郎魏刻溅州划川滋兜鬼幽慈巍么
酣	醋酥酗配酌丑酷醒酝酪酵酸醇醉酿酬
酥	丑酣酗配酌酷酪醋酵醇醒酸醉酝酿酬
量	厘旦粮里旺黑里理埋哩撞幢瞳钟缠
钞	炒沙抄妙吵砂纱销少省劣炸锁渺针铛金
钮	扭丑钦纽羞铭钉针锥锰疆键金
钙	丐钉锭亡下钳银铐表忙芒忘妄
钠	呐内纳锥谷锉肉丙佣钥钦针销柄铃裕浴俗
钧	均钓匀钝钩勾勺灼冰芍钳钉针酌冻准铺
钝	屯囤盹趋钓钩纯钧吨恭匈顿针胸汹金
闰	润开门旺闲间闷问闪闺皇全闭闸闽闻王枉汪
开	闰门闲间闷问闪闭闸闺闽闻润阅板闯阀合
闲	闭门间闷问闪闰开闸闺闻栏闽板朵阀兰们澜拦
间	门闲闷问闪简涧闰开闭闸闺闻闽板阀们
队	阱阳陌阻陈逐阵陡陕限阿防隘陋险隧坠
阶	揩楷谐皆棍混鹿罢隙比
阳	畅扬场肠杨队限袒陷除陌阻
隅	遇偶寓迈愚藕陈阻阵陌限阱陡陕阿防附
隆	降陵处猩峰锋铲版络逢路赂蜂腥终略胳烙格洛
雁	座挫锉坐巫难瘫滩摊集焦崔售二进椎淮推堆唯催准
雅	牙邪鸦呀穿芽蚜椎讶稚准杂雄进淮推堆唯维锥离
雄	截虽太进椎淮推堆唯准锥稚维离杂鸡崔奋
集	焦售只双夺椎崔进淮推堆唯锥侍
雇	乍户崔怎肩截扁房进椎稚淮推堆唯锥邀
云	震雪雨零霉霎雳灵霍霜霞
韧	纫刃违伟卫围苇韩纬讳招拿券槐叨砌
项	顶顽烦硕颈颤顷顿颂频头颗显须预颁颇领颊颓颖题
顺	川驯训袖刘裕袜串州中划剃刷划爪冲仲引儿
须	颜顷频须颁烦顿颂顶硕颖颗显项预顽领颇颊头颓额题类
饭	饥饮饿饺饼饵肴饲饱蚀馁馅
饮	饭饼饵饥馅饲饱饺蚀饿肴饰馁
冯	妈吗玛码蚂闯驾骂马惊驮驰驻驶驹驳
黄	横茎蕾量葬会芋甘四票广三华苛
黍	稚黎禾番香委秋和私季秃稍租秩秘漆稼科秒利
黑	墨里嘿焦羔里埋哩默点童量野理狸黔
乱	骨辞朋目滑过涡绷锅蹦崩觅相猾祸棚贝自窝冒受
佣	庸伐伏代布巾伪偶俩今殃仲饰傅伶例佩筏贪仓席食念含吊令
债	积绩责价溃遗损睛陨惯晴情清钻圆
傲	做邀熬嫩撇撒橄激缴放族埃赘
传	砖转团专傅侍栽博付咐附符府搏膊俯时特褥遵恃持穗铁团
仅	谨勤备并供健仆债借津佣位伴仲件靖仪笔
倾	顷濒吨苹贰岭吁频化须烦顿颁须颖页
催	摧惧崔携仙瞧雏雌摊滩汇瘫椎进唯堆推淮锥坐
伤	偷俭伦但侮伶份杨肠场扬阳
傻	陵凌菱后俊厦忧赂锋贩反略板返扳处疼各冬
剿	利巢刺划剩划副刽剂剥剖刚刹削则刻刷刮制到判删
募	莫墓慕摹暮幕葛蔓昔寞荔萌摸漠模膜努茄
勤	仅助功勒谨胁勘劲励劫肋幼荔茄
势	劫胁幼勇努男劣另热茄荔丸协咖拗助肋
汇	淮尿滩催摧准椎进唯堆推锥惧雌摊焦集雇售崔
嗓	沐泵噪沫决淋喳渣漆湘口菠品呆
嗦	索丝洁螺骡哟绢结细絮累系
吗	码妈驾玛冯蚂骂闯惊马驮驰驻驶驹驳驼骆腾驯
嗜	鳍唱旬喧味咕吱嗦喷婚嘲喝喳惜憎倡悍哮
嗤	缸虫工哑听肛扛江喘汞蛙蛔蛆蚯蛀蚊蚪蚌虹
呜	坞乌鸣吕铝侣呼叭宫唾嘀啤咬咳咱听品薛呈
嗡	翁塌翰蹋折习翼
嗅	臭唬泪吠媳熄兄钻况袱克兑犬虎
呛	抢沧枪苍疮舱仓吟哈喻吃创咐食
园	远猿辕袁哀周畴畦垒吉里结嬉埋台
圆	损陨赏韵员实惯贝债溃贫遗赛钻
塞	寒寨赛基暴异共烘哄拱洪供港恭溢隘嘶撕
塑	溯肚周堕逆冈基茁崩台岗角漓钢台
塘	搪糖唐城域班去埃块垢坤坷怯法址均划州康庸丢玉允土
涂	途堡叙斜除洽杜汽伍丘于沦徐污岳芋宇全乓乒淮
塔	搭瘩哈恰拾洽鸽答荷合合拿磁给蛤俭捡检脸钥堪
填	慎镇真颠宜直植堵值坟且壹
塌	蹋嗡翰翁习折翠翼
块	瑰愧傀槐鬼魄魂魏几丑么魁垢刃魔
坞	呜乌埠块垢薛垃叔坏塘鸣启师迷城帅坷坪坡
奥	懊澳袄向制筋衅自血然痪央胰肋
嫁	家稼家婉婶锭喧棕绽滨妹姑妓尺
嫉	疾嫩埃唉挨效矢族辙佑数枚知收傲撇撤澈撒做
嫌	廉赚谦兼歉镰帘媒嫡姊如女奸
妈	吗玛冯码蚂骂驾闯马惊驮驰驻驶驹驳驼腾驯
媳	熄息嗅钻虎婚沉娩妒妖臭嫂娇唬姓兄鼻忌赞
嫂	搜瘦艘媳婚妖妒臼滔娇姓曼舀
幌	帽晃幔光帜恍幅帕巾幢帐帖辉帆
干	翰干舍秆赶杆焊悍捍韩朝斩宿舍轮输轩干岸
廉	嫌兼赚谦帘歉镰戒庶广度席械床台盏蔗戈渡遮镀
厦	夏忧菱凌傻陵后反峰各冬处赂路贩胳板返扳
汇	雷果互裹蕾电巢棵裸擂录肯青碌将课剥颗
微	霉彻征御街衔徘衡衍循徙徒很律徊彼往复从徐役
愚	寓遇偶藕隅迈万惠忍厉慰甲巾感蜀患恩思忠吊布钾
意	音竭忆章暗亿竟立葛樟童昔境障站镜
慈	滋磁药幽惹蓄葱葬萄莽蕊怠苔关惠几乐芯忍玄庄蕴乡
感	憾怠撼惑恕台名苔或胎抬始治惠思忠芯志忍惹
想	相厢箱湘盹息忌目亲态枣策怨冒霜棘衬
爱	受朋崩棚硼鹏骨授胸胞觅月滑静
惹	若匿右艾诺葱怠慈荔落茄憾慕莽蕊感荚恕芯撼哎
愁	秋揪稍秒锹禾愿您杰悬秋番悉凭香委秘穗和私
愈	偷愉榆逾喻输仑伦儒优盒念合抡沦
慎	填镇真颠宜恒直植值惯愤且
慌	谎荒惜芒懂忙蓄亡茫忘慨世葬盲荠妄
栗	腰迁栗价粟要贾复袖裸悟千亚恶惰懦怀哑恒怔
愧	块槐傀鬼瑰魄魂怕魏几丑必么魁恤恬性匆刃魔
搞	镐稿蒿篙侨掠娇桥攘矫骄高轿膏摔掖停擅拥壕嚎抗扑
搪	塘糖唐找抬捕拔撼扣搔挨拭捷捉括拂抽押拓拇抱拘扯
搭	塔瘩拾描措捡摸舍恰洽哈鸽拓答荷合
搬	锻缎淀般发投盘殷段股抗疫毁殿壳拨谷役击
搏	博傅膊缚捕持补脯铺浦哺圃辅甫
搜	嫂瘦艘撬播抵投插拍折抓托扒浙抑臼
搔	骚虫蚤强虫蜜萤蚀蚣蛙蛔蛀蛆蚯蚌蚊蚪蚓闽
损	陨韵圆赏员债捐惯溃积遗钻绩贝实贫赛
抢	沧呛枪苍疮舱仓捻舍捡拾抡擒拴拖创食
摇	遥掏谣淘陶萄挥采缺援探授挣缸坛
捣	貌拍把笆藐皂托扒白巴括拆抓扳折指插捶耙柏迫怕泊肥吧
敬	启故擎散枚敞敦敢敌数敛牧玫改收做矢疾矣
斟	甚勘堪魁斜料蚪科抖斗农浓脓其辰
新	薪析近斯折听芹斩祈所匠斧晰掀斤
暗	音樟亿忆意境障镜响
暇	假虾霞候夜浸般侵股投没又疫奴殿毁壳毅殴谷设殷段
晕	荤轰运挥浑辉军莲裤链车撵库连轧载轴软轩阵轨
暖	援缓明助晕锄天萌冒
会	合僵拿仑刽仁盒命绘量黄全丘僧潭
榔	廊郎椰梆乡栈椭挪娜哪掷绑参晋
业	共丛寨异基烘恭益洪拱哄供并溢塞叶钳隘港寒暴错巷茉
楚	础婿焚蛋禁矾漩旋林襟李森走足栋进淋橡陡材村
楷	揩阶谐皆棍混罢鹿柏比批昆庇屁
楔	契棒榛桩桥夭椅换驳梭模格澳懊杭杉袄林板拍沃扳妖托扒
极	梧标拯枉杯杆本仁柄朽查三
椰	爷梆榔聂绑挪娜哪邦椭掷茸趣摄镊
概	溉慨既潜唧卿鲫节根即朽杆查蚕
杨	肠扬场畅阳杆查棍秆伤渣喳粮
楞	榜还膀傍磅螃环防蔑谤逻锣方罩梦
枫	飒讽疯飘风台刮板杭佩肌跺躲谷格咒冗
榆	偷逾愉喻输愈栓检伦枪梅沦抡
楣	媚眉帽相湘厢算箱省自篡咱首目冒霜
歇	蔼钦歌欲亩砍炊玖坎吹次款欺歉饮欧软欣欢遏渴揭
岁	止肯歧企扯址武啃茂步趾历虫正灭蛾减喊蛛遣赋涉沥
毁	壳殷般段股投殿谷役毅殴杀设疫没躲声
殿	壳杀殷般段股投毁殴谷役毅设疫淀臀没浸侵锻击
溢	隘港益洪温滥锰赛遍偏烘拱哄供盖暴异盆
